#	time(s)	count A	count B	count C	count D
1407	14.0700	3	-69		
1408	14.0800	3	-70		
1409	14.0900	4	-71		
1410	14.1000	4	-71		
1411	14.1100	4	-70		
1412	14.1200	4	-70		
1413	14.1300	4	-69		
1414	14.1400	4	-68		
1415	14.1500	4	-66		
1416	14.1600	5	-64		
1417	14.1700	5	-61		
1418	14.1800	5	-58		
1419	14.1900	5	-55		
1420	14.2000	5	-52		
1421	14.2100	6	-48		
1422	14.2200	6	-44		
1423	14.2300	6	-39		
1424	14.2400	6	-35		
1425	14.2500	6	-30		
1426	14.2600	6	-25		
1427	14.2700	6	-20		
1428	14.2800	6	-15		
1429	14.2900	6	-9		
1430	14.3000	6	-4		
1431	14.3100	6	2		
1432	14.3200	6	8		
1433	14.3300	6	13		
1434	14.3400	6	18		
1435	14.3500	6	24		
1436	14.3600	6	29		
1437	14.3700	6	35		
1438	14.3800	6	40		
1439	14.3900	6	45		
1440	14.4000	6	50		
1441	14.4100	6	54		
1442	14.4200	6	59		
1443	14.4300	6	63		
1444	14.4400	6	66		
1445	14.4500	5	70		
1446	14.4600	5	73		
1447	14.4700	5	76		
1448	14.4800	5	78		
1449	14.4900	5	80		
1450	14.5000	4	82		
1451	14.5100	4	84		
1452	14.5200	4	85		
1453	14.5300	4	85		
1454	14.5400	4	85		
1455	14.5500	4	85		
1456	14.5600	4	84		
1457	14.5700	3	83		
1458	14.5800	3	82		
1459	14.5900	3	80		
1460	14.6000	3	78		
1461	14.6100	2	75		
1462	14.6200	2	72		
1463	14.6300	2	69		
1464	14.6400	2	65		
1465	14.6500	2	61		
1466	14.6600	2	57		
1467	14.6700	2	52		
1468	14.6800	2	48		
1469	14.6900	2	43		
1470	14.7000	2	38		
1471	14.7100	2	32		
1472	14.7200	1	27		
1473	14.7300	1	21		
1474	14.7400	1	16		
1475	14.7500	1	10		
1476	14.7600	1	4		
1477	14.7700	1	-2		
1478	14.7800	1	-7		
1479	14.7900	1	-13		
1480	14.8000	1	-18		
1481	14.8100	2	-24		
1482	14.8200	2	-29		
1483	14.8300	2	-34		
1484	14.8400	2	-39		
1485	14.8500	2	-44		
1486	14.8600	2	-48		
1487	14.8700	2	-52		
1488	14.8800	2	-56		
1489	14.8900	2	-60		
1490	14.9000	2	-63		
1491	14.9100	2	-66		
1492	14.9200	3	-68		
1493	14.9300	3	-70		
1494	14.9400	3	-72		
1495	14.9500	3	-74		
1496	14.9600	3	-74		
1497	14.9700	4	-75		
1498	14.9800	4	-75		
1499	14.9900	4	-75		
1500	15.0000	4	-74		
1501	15.0100	4	-73		
1502	15.0200	4	-71		
1503	15.0300	5	-69		
1504	15.0400	5	-67		
1505	15.0500	5	-64		
1506	15.0600	5	-61		
1507	15.0700	5	-58		
1508	15.0800	6	-54		
1509	15.0900	6	-50		
1510	15.1000	6	-46		
1511	15.1100	6	-41		
1512	15.1200	6	-36		
1513	15.1300	6	-31		
1514	15.1400	6	-26		
1515	15.1500	6	-20		
1516	15.1600	6	-14		
1517	15.1700	6	-9		
1518	15.1800	6	-3		
1519	15.1900	6	3		
1520	15.2000	6	9		
1521	15.2100	6	15		
1522	15.2200	6	20		
1523	15.2300	6	26		
1524	15.2400	6	32		
1525	15.2500	6	38		
1526	15.2600	6	43		
1527	15.2700	6	48		
1528	15.2800	6	53		
1529	15.2900	6	58		
1530	15.3000	6	62		
1531	15.3100	6	67		
1532	15.3200	6	71		
1533	15.3300	5	74		
1534	15.3400	5	78		
1535	15.3500	5	80		
1536	15.3600	5	83		
1537	15.3700	5	85		
1538	15.3800	4	87		
1539	15.3900	4	88		
1540	15.4000	4	89		
1541	15.4100	4	89		
1542	15.4200	4	90		
1543	15.4300	4	89		
1544	15.4400	4	88		
1545	15.4500	3	87		
1546	15.4600	3	86		
1547	15.4700	3	84		
1548	15.4800	3	81		
1549	15.4900	2	78		
1550	15.5000	2	75		
1551	15.5100	2	71		
1552	15.5200	2	67		
1553	15.5300	2	63		
1554	15.5400	2	59		
1555	15.5500	2	54		
1556	15.5600	2	49		
1557	15.5700	2	44		
1558	15.5800	2	38		
1559	15.5900	1	32		
1560	15.6000	1	27		
1561	15.6100	1	21		
1562	15.6200	1	15		
1563	15.6300	1	9		
1564	15.6400	1	3		
1565	15.6500	1	-4		
1566	15.6600	1	-10		
1567	15.6700	1	-15		
1568	15.6800	1	-21		
1569	15.6900	1	-27		
1570	15.7000	2	-32		
1571	15.7100	2	-38		
1572	15.7200	2	-43		
1573	15.7300	2	-48		
1574	15.7400	2	-52		
1575	15.7500	2	-57		
1576	15.7600	2	-61		
1577	15.7700	2	-64		
1578	15.7800	2	-68		
1579	15.7900	2	-70		
1580	15.8000	3	-73		
1581	15.8100	3	-75		
1582	15.8200	3	-77		
1583	15.8300	3	-78		
1584	15.8400	4	-79		
1585	15.8500	4	-80		
1586	15.8600	4	-80		
1587	15.8700	4	-79		
1588	15.8800	4	-78		
1589	15.8900	4	-77		
1590	15.9000	4	-75		
1591	15.9100	5	-73		
1592	15.9200	5	-70		
1593	15.9300	5	-68		
1594	15.9400	5	-64		
1595	15.9500	5	-60		
1596	15.9600	6	-56		
1597	15.9700	6	-52		
1598	15.9800	6	-47		
1599	15.9900	6	-42		
1600	16.0000	6	-37		
1601	16.0100	6	-32		
1602	16.0200	6	-26		
1603	16.0300	6	-20		
1604	16.0400	6	-14		
1605	16.0500	6	-8		
1606	16.0600	6	-2		
1607	16.0700	6	4		
1608	16.0800	6	10		
1609	16.0900	6	16		
1610	16.1000	6	23		
1611	16.1100	6	29		
1612	16.1200	6	35		
1613	16.1300	6	40		
1614	16.1400	6	46		
1615	16.1500	6	52		
1616	16.1600	6	57		
1617	16.1700	6	62		
1618	16.1800	6	66		
1619	16.1900	6	71		
1620	16.2000	6	75		
1621	16.2100	5	79		
1622	16.2200	5	82		
1623	16.2300	5	85		
1624	16.2400	5	88		
1625	16.2500	5	90		
1626	16.2600	4	91		
1627	16.2700	4	93		
1628	16.2800	4	94		
1629	16.2900	4	94		
1630	16.3000	4	94		
1631	16.3100	4	93		
1632	16.3200	4	92		
1633	16.3300	3	91		
1634	16.3400	3	89		
1635	16.3500	3	87		
1636	16.3600	3	84		
1637	16.3700	2	81		
1638	16.3800	2	78		
1639	16.3900	2	74		
1640	16.4000	2	70		
1641	16.4100	2	65		
1642	16.4200	2	60		
1643	16.4300	2	55		
1644	16.4400	2	50		
1645	16.4500	2	44		
1646	16.4600	2	38		
1647	16.4700	1	32		
1648	16.4800	1	26		
1649	16.4900	1	20		
1650	16.5000	1	14		
1651	16.5100	1	8		
1652	16.5200	1	1		
1653	16.5300	1	-5		
1654	16.5400	1	-12		
1655	16.5500	1	-18		
1656	16.5600	1	-24		
1657	16.5700	1	-30		
1658	16.5800	2	-36		
1659	16.5900	2	-41		
1660	16.6000	2	-46		
1661	16.6100	2	-52		
1662	16.6200	2	-56		
1663	16.6300	2	-61		
1664	16.6400	2	-65		
1665	16.6500	2	-69		
1666	16.6600	2	-72		
1667	16.6700	2	-75		
1668	16.6800	2	-78		
1669	16.6900	3	-80		
1670	16.7000	3	-82		
1671	16.7100	3	-83		
1672	16.7200	3	-84		
1673	16.7300	4	-84		
1674	16.7400	4	-84		
1675	16.7500	4	-83		
1676	16.7600	4	-82		
1677	16.7700	4	-81		
1678	16.7800	4	-79		
1679	16.7900	4	-77		
1680	16.8000	5	-74		
1681	16.8100	5	-70		
1682	16.8200	5	-67		
1683	16.8300	5	-63		
1684	16.8400	5	-59		
1685	16.8500	6	-54		
1686	16.8600	6	-49		
1687	16.8700	6	-44		
1688	16.8800	6	-38		
1689	16.8900	6	-32		
1690	16.9000	6	-27		
1691	16.9100	6	-20		
1692	16.9200	6	-14		
1693	16.9300	6	-8		
1694	16.9400	6	-1		
1695	16.9500	6	5		
1696	16.9600	6	12		
