Profile 1 FLIR AX5

,Li1,Li2,Li3
Emissivity,1,1,1
Distance,0,0,0
Reflected temperature,22,22,22
Start point X,167,199,233
Start point Y,240,241,244
End point X,169,202,237
End point Y,170,115,7

Index,Li1,Li2,Li3
1,235.93,248.29,262.18
2,226.89,245.48,252.41
3,226.46,244.48,243.9
4,230.62,242.36,242.6
5,227.94,237.49,239.04
6,224.19,235.87,234.25
7,220.34,234.73,227.94
8,221.15,231.11,221.4
9,219.21,229.22,216.01
10,216.26,226.96,215.25
11,213.54,222.7,217.14
12,210.02,220.46,213.28
13,207.06,217.2,211.18
14,203.42,214.62,207.19
15,201.65,212.01,202.44
16,198.61,209,197.68
17,195.68,206.41,195.15
18,193.26,203.68,194.54
19,190.69,201.98,190.97
20,187.83,199.41,188.03
21,186.25,196.82,187.07
22,183.69,194.27,184.52
23,181.18,192.12,181.53
24,178.86,190.56,178.72
25,177.02,188.03,176.52
26,175.16,185.83,175.02
27,172.87,183.83,173.01
28,170.92,181.6,170.63
29,168.51,179.42,167.85
30,166.9,177.51,165.72
31,165.5,175.52,163.34
32,163.57,173.73,162.07
33,162.07,171.57,160.42
34,160.8,169.53,158.83
35,158.76,167.56,156.47
36,157.62,165.05,154.32
37,156.4,163.57,152.78
38,155.25,162.3,150.91
39,154.01,160.04,148.94
40,152.85,158.07,146.89
41,152,156.4,145.37
42,150.98,154.71,143.77
43,150.2,153.86,141.91
44,149.02,151.92,140.36
45,148.16,150.2,138.73
46,147.05,148.79,137.24
47,146.41,147.44,135.75
48,145.45,146.25,134.16
49,144.41,144.57,132.73
50,143.77,143.45,131.37
51,141.75,142.15,130.1
52,138.97,141.1,129.15
53,134.41,139.63,127.43
54,127.86,138.4,126.22
55,119.59,137.65,124.73
56,113.02,136.58,123.68
57,107.94,135.33,122.44
58,104.09,134.24,121.82
59,100.75,133.4,120.31
60,98.36,132.39,119.23
61,96.24,131.29,118.51
62,94.5,130.44,117.06
63,92.64,129.58,115.97
64,90.97,128.64,114.87
65,89.82,127.78,113.94
66,88.65,127.26,113.02
67,86.94,126.74,112.18
68,86.62,125.96,111.15
69,85.86,124.82,110.22
70,84.56,124.03,109.18
71,83.9,123.24,108.13
72,,122.35,106.89
73,,121.91,106.12
74,,121.38,105.35
75,,120.22,104.29
76,,119.59,103.8
77,,118.33,102.72
78,,117.97,102.23
79,,117.42,101.25
80,,117.06,100.26
81,,116.79,99.56
82,,116.7,98.96
83,,115.97,98.36
84,,115.69,97.55
85,,115.23,96.54
86,,114.41,95.83
87,,113.94,95.52
88,,113.58,94.5
89,,113.2,93.78
90,,113.11,92.95
91,,112.83,92.02
92,,112.65,91.29
93,,111.62,90.87
94,,111.62,89.92
95,,111.25,89.71
96,,110.87,89.18
97,,110.87,89.18
98,,110.5,88.22
99,,109.93,86.94
100,,110.31,86.83
101,,109.46,86.08
102,,109.18,85.97
103,,108.99,84.99
104,,108.51,84.45
105,,107.85,83.68
106,,106.7,83.13
107,,105.45,82.58
108,,103.02,81.81
109,,99.86,81.47
110,,96.95,81.25
111,,94.6,80.36
112,,93.16,79.68
113,,91.6,79.35
114,,90.24,79.23
115,,89.6,78.67
116,,88.54,78.21
117,,87.8,77.19
118,,86.83,77.19
119,,86.51,76.73
120,,86.51,76.27
121,,85.86,75.35
122,,85.54,75.23
123,,84.99,74.65
124,,85.1,74.53
125,,84.56,74.3
126,,84.34,73.37
127,,83.79,73.13
128,,,72.9
129,,,72.78
130,,,72.19
131,,,71.71
132,,,71.48
133,,,70.88
134,,,70.4
135,,,69.92
136,,,69.56
137,,,69.44
138,,,69.08
139,,,68.96
140,,,68.35
141,,,67.99
142,,,68.11
143,,,67.13
144,,,67.38
145,,,67.13
146,,,66.64
147,,,66.02
148,,,66.15
149,,,65.78
150,,,65.65
151,,,65.03
152,,,64.78
153,,,64.78
154,,,64.16
155,,,63.65
156,,,63.91
157,,,63.91
158,,,63.28
159,,,63.15
160,,,63.15
161,,,62.39
162,,,62.26
163,,,62.14
164,,,61.88
165,,,61.88
166,,,61.88
167,,,62.01
168,,,61.5
169,,,61.63
170,,,61.63
171,,,61.12
172,,,60.73
173,,,61.24
174,,,60.99
175,,,60.47
176,,,60.22
177,,,60.09
178,,,59.7
179,,,59.7
180,,,59.7
181,,,59.7
182,,,59.18
183,,,59.83
184,,,59.31
185,,,59.31
186,,,58.79
187,,,58.92
188,,,58.92
189,,,58.53
190,,,58.27
191,,,58.53
192,,,59.05
193,,,58.01
194,,,58.66
195,,,58.27
196,,,58.14
197,,,57.74
198,,,57.48
199,,,57.48
200,,,56.69
201,,,56.82
202,,,56.55
203,,,56.69
204,,,57.08
205,,,57.22
206,,,57.22
207,,,57.87
208,,,57.61
209,,,57.08
210,,,57.35
211,,,57.35
212,,,56.69
213,,,56.42
214,,,55.89
215,,,55.76
216,,,56.02
217,,,55.76
218,,,55.62
219,,,55.22
220,,,54.68
221,,,54.28
222,,,54.82
223,,,54.82
224,,,54.55
225,,,54.28
226,,,53.19
227,,,52.78
228,,,51.69
229,,,51.13
230,,,50.3
231,,,49.74
232,,,48.9
233,,,48.33
234,,,49.18
235,,,48.05
236,,,48.62
237,,,47.91
238,,,47.76
