Profile 1 FLIR AX5

,Li1
Emissivity,1
Distance,0
Reflected temperature,22
Start point X,206
Start point Y,193
End point X,212
End point Y,40

Index,Li1
1,292.2
2,291.93
3,291.45
4,298.09
5,309.18
6,308.92
7,304.6
8,295.23
9,286.41
10,282.4
11,281.15
12,279.95
13,278.31
14,276.61
15,275.51
16,274.47
17,274.08
18,272.81
19,271.53
20,270.09
21,268.7
22,268.36
23,265.67
24,264.89
25,264.38
26,263.59
27,263.87
28,263.25
29,262.92
30,261.67
31,261.33
32,259.86
33,260.03
34,259.34
35,258.83
36,257.35
37,255.8
38,253.22
39,251.37
40,245.07
41,235.69
42,226.16
43,218.9
44,213.16
45,207.9
46,204.2
47,200.53
48,197.28
49,193.4
50,190.49
51,186.66
52,183.9
53,181.18
54,177.8
55,175.23
56,171.86
57,170.12
58,166.68
59,164.16
60,161.77
61,159.21
62,156.93
63,154.01
64,151.69
65,148.55
66,145.85
67,142.72
68,138.81
69,133.91
70,128.21
71,125.35
72,124.12
73,123.77
74,123.15
75,123.24
76,122.62
77,122.44
78,122.18
79,122.18
80,122.27
81,121.91
82,121.82
83,121.73
84,121.38
85,121.2
86,121.38
87,121.11
88,120.58
89,120.4
90,120.04
91,119.14
92,118.69
93,118.42
94,119.05
95,119.59
96,119.77
97,120.04
98,119.77
99,119.77
100,119.59
101,119.14
102,118.6
103,119.05
104,118.87
105,118.69
106,118.69
107,118.33
108,118.24
109,118.15
110,118.24
111,118.33
112,118.87
113,118.06
114,118.69
115,118.42
116,117.88
117,117.88
118,117.24
119,117.33
120,115.78
121,113.48
122,110.22
123,108.61
124,110.22
125,111.06
126,110.78
127,109.65
128,108.51
129,107.37
130,106.89
131,105.55
132,103.99
133,101.25
134,99.76
135,97.66
136,93.47
137,87.8
138,82.25
139,78.33
140,76.27
141,75.23
142,73.6
143,73.01
144,72.54
145,72.19
146,71.36
147,71.24
148,70.4
149,70.64
150,69.92
151,69.44
152,69.44
153,69.08
154,68.84
