#	time(s)		
1	0.4389		
2	0.4390		
3	0.4396		
4	0.4385		
5	0.4389		
6	0.4381		
7	0.4394		
8	0.4391		
9	0.4385		
10	0.4403		
11	0.4394		
12	0.4378		
13	0.4391		
14	0.4394		
15	0.4391		
16	0.4390		
17	0.4380		
18	0.4395		
19	0.4393		
20	0.4383		
21	0.4398		
22	0.4403		
23	0.4390		
24	0.4379		
25	0.4395		
26	0.4383		
27	0.4387		
28	0.4385		
29	0.4383		
30	0.4402		
31	0.4392		
32	0.4382		
33	0.4396		
34	0.4396		
35	0.4414		
36	0.4386		
37	0.4394		
38	0.4390		
39	0.4409		
40	0.4391		
41	0.4394		
42	0.4390		
43	0.4384		
44	0.4386		
45	0.4388		
46	0.4391		
47	0.4383		
48	0.4390		
49	0.4389		
50	0.4388		
51	0.4393		
52	0.4386		
53	0.4383		
54	0.4387		
55	0.4391		
56	0.4381		
57	0.4380		
58	0.4387		
59	0.4392		
60	0.4396		
61	0.4387		
62	0.4385		
63	0.4405		
64	0.4393		
65	0.4385		
66	0.4386		
67	0.4394		
68	0.4380		
69	0.4387		
70	0.4386		
71	0.4389		
72	0.4389		
73	0.4389		
74	0.4387		
75	0.4394		
76	0.4397		
77	0.4388		
78	0.4381		
79	0.4388		
80	0.4385		
81	0.4389		
82	0.4398		
83	0.4392		
84	0.4389		
85	0.4390		
86	0.4388		
87	0.4385		
88	0.4392		
89	0.4388		
90	0.4393		
91	0.4384		
92	0.4385		
93	0.4386		
94	0.4394		
95	0.4394		
96	0.4386		
97	0.4414		
98	0.4382		
99	0.4386		
100	0.4385		
